DESCRICAO,SUPERMERCADO
SABONETE DOVE 90G,"BARATAO DA CARNE - PD, AV. TANCREDO NEVES 1760, PARQUE 10, MANAUS-AM"
SABONETE DOVE 90 G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
SABONETE DOVE BAR 90G,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
SAB DOV 90G,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
SABONETE DOVE CX C/3 90G,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"
SAB DOVE ORIGINAL 90GR,"ATACK MANIA, AV. AUTAZES 550, DISTRITO INDUSTRIAL, MANAUS-AM"

CAFE PILAO 500G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
CAF PILAO 500G,"SUPERMERCADO VENZ, AV. DJALMA BATISTA 3000, CHAPADA, MANAUS-AM"
CAFE PILAO VÁCUO 500 G,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
CAFÉ PILÃO 500GR,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
CAFE PILAO TRAD 500G,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"

ARROZ TIO JOAO 5KG,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
ARROZ T JOAO 5 KG,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
ARROZ TIO JOAO TP5KG,"BARATÃO DA CARNE, AV. TANCREDO NEVES 1760, PARQUE 10, MANAUS-AM"
ARROZ T.JOAO 5K,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"

ACHOC PO NESCAU 400G,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
NESCAU PO 400GR,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"
ACHOC P NESCAU 400G,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
NESCAU ACHOCOLATADO 400G,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"

OLEO SOJA SOYA 900ML,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
ÓLEO SOYA 900ML,"BARATÃO DA CARNE, AV. TANCREDO NEVES 1760, PARQUE 10, MANAUS-AM"
OLEO S SOYA 900 ML,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
OLEO SOYA PET 900ML,"SUPERMERCADO NOVA ERA, AV. CONSTANTINO NERY 3000, CHAPADA, MANAUS-AM"

PAPEL HIG NEVE 12RL,"SUPERMERCADO DB LTDA, RUA BARÃO DO RIO BRANCO 974, FLORES, MANAUS-AM"
PAPEL HIGIENICO NEVE 12 ROLOS,"CARREFOUR MANAUS, AV. EFIGÊNIO SALES 1230, ALEIXO, MANAUS-AM"
PH NEVE 12RL,"ASSAÍ ATACADISTA, AV. TORQUATO TAPAJÓS 8800, COLÔNIA SANTO ANTÔNIO, MANAUS-AM"
