DESCRICAO,SUPERMERCADO
GUARANA CLASSIC 2LT,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

OLEO SJ CONCORD 900ML,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

CHOCOLATE PO DUBOM 200G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

REFRIGERANTE LARANJINHA 250ML,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

BATATA PALHA SCRUSH 140G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

LEITE COND MOCOCA 395G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

SALSICHA HT DOG SEARA,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

PAO INT RAP10 297G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

SUCO KAPO UVA 200ML,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

BISCOITO TRIGOLINO BRIG 40G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

MINI WAFFER TRIGOLINO BRIG 40G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

ROSQUINHA GALO COCO 300G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

SUCO LARANJA DAFRUTA 200ML,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

SUCO UVA DAFRUTA 200ML,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

MILHO PIPOCA CAMPI 400G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

REFRIGERANTE GRAPETTE 250ML,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

NISSIN TOMATE TURM MON 65G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

BALA FREEG EUCALPITO 584G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

SABONETE PALM 85G,"ASSAI ATACADISTA, AV. TORQUATO TAPAJÓS 2200, FLORES, MANAUS-AM"

CALABRESA PERDIGAO 500G,"J O XAVIER COMERCIAL, RUA GURUPI 2331, REDENÇÃO, MANAUS-AM"

SORVETE TOYA CHOCOLATE 2L,"J O XAVIER COMERCIAL, RUA GURUPI 2331, REDENÇÃO, MANAUS-AM"

REFRIGERANTE COCA COLA 2L,"J O XAVIER COMERCIAL, RUA GURUPI 2331, REDENÇÃO, MANAUS-AM"

GOMA TAPIOCA JO ALIMENTOS 1KG,"MEDEIROS COMERCIAL DE ALIMENTOS LTDA, AVENIDA TORQUATO TAJAPOS 5200 FLORES MANAUS-AM"

SUCO KAPO MORANGO 200ML,"MEDEIROS COMERCIAL DE ALIMENTOS LTDA, AVENIDA TORQUATO TAJAPOS 5200 FLORES MANAUS-AM"

SUCO KAPO MARACUJA 200ML,"MEDEIROS COMERCIAL DE ALIMENTOS LTDA, AVENIDA TORQUATO TAJAPOS 5200 FLORES MANAUS-AM"

SUCO KAPO LARANJA 200ML,"MEDEIROS COMERCIAL DE ALIMENTOS LTDA, AVENIDA TORQUATO TAJAPOS 5200 FLORES MANAUS-AM"

MELANCIA KG,"CASA DA CARNE OTAVIO LTDA, RUA CAMPOS GRAVOS 1868, REDENÇÃO, MANAUS-AM"

REFRIGERANTE BARE 2L PET,"CASA DA CARNE OTAVIO LTDA, RUA CAMPOS GRAVOS 1868, REDENÇÃO, MANAUS-AM"

PAPEL HIGIENICO FLOR LOTUS PERFURMADO 4UN,"CASA DA CARNE OTAVIO LTDA, RUA CAMPOS GRAVOS 1868, REDENÇÃO, MANAUS-AM"

PAO FRANCES KG,"CASA DA CARNE OTAVIO LTDA, RUA CAMPOS GRAVOS 1868, REDENÇÃO, MANAUS-AM"

CHEIRO VERDE MISTO,"CASA DA CARNE OTAVIO LTDA, RUA CAMPOS GRAVOS 1868, REDENÇÃO, MANAUS-AM"

PAO DE FORMA,"AFS COMERCIO VAREJISTA DE GENEROS ALIMENTICIOS, RUA ALFREDO VALOIS 004, REDENÇÃO, MANAUS-AM"

PRESUNTO COZIDO BIGBOM 500G,"MILHOMENS E CIA LTDA, RUA CAMPOS BRAVOS 462, REDENÇÃO, MANAUS-AM"

QUEIJO MUSSARELA FATIADO 500G,"MILHOMENS E CIA LTDA, RUA CAMPOS BRAVOS 462, REDENÇÃO, MANAUS-AM"

LEITE CONDENSADO SEMIDESNATADO TIROL 1KG,"MILHOMENS E CIA LTDA, RUA CAMPOS BRAVOS 462, REDENÇÃO, MANAUS-AM"
