CODIGO,DESCRICAO,QTD,UN,VALOR_UNITARIO,VALOR_TOTAL,NOME_SUPERMERCADO,CNPJ,ENDERECO,NUMERO_NFCE,SERIE,DATA_HORA_COMPRA
136269016710,SABONETE DOVE 90G,8,UN,40.84,326.72,BARATAO DA CARNE - PD,06.710.613/0009-56,"PARQUE 10 DE NOVEMBR, AV.TANCREDO NEVES, 1760",196546,17,28/08/2025 22:32:40
907898049735,CAFE PILAO 500G,4,UN,33.52,134.08,SUPERMERCADO DB LTDA,22.999.939/0041-95,"RUA BARAO DO RIO BRANCO, 974",192488,5,10/08/2025 18:39:44
109861221315,QUEIJO MUSS FATIADO 200G,1,UN,43.15,43.15,SUPERMERCADO DB LTDA,22.999.939/0041-95,"RUA BARAO DO RIO BRANCO, 974",194714,14,01/08/2025 19:53:27
670225512607,ARROZ TIO JOAO 5KG,2,UN,25.50,51.00,ASSAI ATACADISTA,06.057.223/0001-71,"AV. DAS TORRES, 2000",200222,2,03/08/2025 12:30:00
998697542314,MACARRAO RENATA 500G,5,UN,6.70,33.50,BARATAO DA CARNE - PD,06.710.613/0009-56,"PARQUE 10 DE NOVEMBR, AV.TANCREDO NEVES, 1760",200333,3,04/08/2025 14:45:00
,LEITE INTEGRAL 1L,10,UN,5.20,52.00,CARREFOUR,47.508.411/0001-56,"RUA BARAO DO RIO BRANCO, 974",200444,4,05/08/2025 09:10:00
334455667788,IOGURTE NESTLE 170G,,UN,3.90,23.40,ASSAI ATACADISTA,06.057.223/0001-71,"AV. DAS TORRES, 2000",200555,5,06/08/2025 20:00:00
445566778899,FARINHA DE TRIGO 1KG,4,UN,abc,18.00,BARATAO DA CARNE - PD,06.710.613/0009-56,"AV. GENERAL RODRIGO OTAVIO, 1000",200666,6,07/08/2025 21:15:00
556677889900,REFRIGERANTE FANTA UVA 2L,3,UN,7.00,21.00,SUPERMERCADO TESTE,11.111.111/1111-11,"RUA INVÁLIDA, 123",200777,7,2025-08-08 18:00:00
667788990011,CERVEJA SKOL 350ML,-2,UN,2.50,5.00,MERCEARIA CENTRAL,22.222.222/2222-22,"RUA SEM NOME, 10",200888,8,09/08/2025 22:10:00
